"TimeStep","Gradient:0","Gradient:1","Gradient:2","temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2,0.00083953,4.5854e-08,0,0.00014355,1,0.222,0.222,0.5,0
2,0.00084084,4.5769e-08,0,0.00014439,1,0.223,0.223,0.5,0
2,0.00084215,4.5685e-08,0,0.00014524,1,0.224,0.224,0.5,0
2,0.00084347,4.5601e-08,0,0.00014608,1,0.225,0.225,0.5,0
2,0.00084478,4.5517e-08,0,0.00014692,1,0.226,0.226,0.5,0
2,0.0008461,4.5433e-08,0,0.00014777,1,0.227,0.227,0.5,0
2,0.00084741,4.5348e-08,0,0.00014861,1,0.228,0.228,0.5,0
2,0.00084872,4.5264e-08,0,0.00014946,1,0.229,0.229,0.5,0
2,0.00085004,4.518e-08,0,0.0001503,1,0.23,0.23,0.5,0
2,0.00085114,4.5008e-08,0,0.00015116,1,0.231,0.231,0.5,0
2,0.00085223,4.4837e-08,0,0.00015201,1,0.232,0.232,0.5,0
2,0.00085333,4.4665e-08,0,0.00015287,1,0.233,0.233,0.5,0
2,0.00085443,4.4493e-08,0,0.00015372,1,0.234,0.234,0.5,0
2,0.00085553,4.4322e-08,0,0.00015458,1,0.235,0.235,0.5,0
2,0.00085662,4.415e-08,0,0.00015544,1,0.236,0.236,0.5,0
2,0.00085772,4.3978e-08,0,0.00015629,1,0.237,0.237,0.5,0
2,0.00085882,4.3807e-08,0,0.00015715,1,0.238,0.238,0.5,0
2,0.00085992,4.3635e-08,0,0.000158,1,0.239,0.239,0.5,0
2,0.00086101,4.3463e-08,0,0.00015886,1,0.24,0.24,0.5,0
2,0.00086187,4.3166e-08,0,0.00015973,1,0.241,0.241,0.5,0
2,0.00086272,4.2868e-08,0,0.00016059,1,0.242,0.242,0.5,0
2,0.00086358,4.2571e-08,0,0.00016146,1,0.243,0.243,0.5,0
2,0.00086443,4.2273e-08,0,0.00016232,1,0.244,0.244,0.5,0
2,0.00086529,4.1976e-08,0,0.00016319,1,0.245,0.245,0.5,0
2,0.00086614,4.1678e-08,0,0.00016406,1,0.246,0.246,0.5,0
2,0.000867,4.1381e-08,0,0.00016492,1,0.247,0.247,0.5,0
2,0.00086785,4.1083e-08,0,0.00016579,1,0.248,0.248,0.5,0
2,0.00086871,4.0786e-08,0,0.00016665,1,0.249,0.249,0.5,0
2,0.00086956,4.0488e-08,0,0.00016752,1,0.25,0.25,0.5,0
2,0.00087015,4.0014e-08,0,0.00016839,1,0.251,0.251,0.5,0
2,0.00087074,3.954e-08,0,0.00016927,1,0.252,0.252,0.5,0
2,0.00087133,3.9065e-08,0,0.00017014,1,0.253,0.253,0.5,0
2,0.00087191,3.8591e-08,0,0.00017101,1,0.254,0.254,0.5,0
2,0.0008725,3.8117e-08,0,0.00017189,1,0.255,0.255,0.5,0
2,0.00087309,3.7643e-08,0,0.00017276,1,0.256,0.256,0.5,0
2,0.00087368,3.7168e-08,0,0.00017363,1,0.257,0.257,0.5,0
2,0.00087426,3.6694e-08,0,0.00017451,1,0.258,0.258,0.5,0
2,0.00087485,3.622e-08,0,0.00017538,1,0.259,0.259,0.5,0
2,0.00087544,3.5745e-08,0,0.00017625,1,0.26,0.26,0.5,0
2,0.00087573,3.5036e-08,0,0.00017713,1,0.261,0.261,0.5,0
2,0.00087603,3.4326e-08,0,0.00017801,1,0.262,0.262,0.5,0
2,0.00087633,3.3616e-08,0,0.00017889,1,0.263,0.263,0.5,0
2,0.00087662,3.2906e-08,0,0.00017976,1,0.264,0.264,0.5,0
2,0.00087692,3.2196e-08,0,0.00018064,1,0.265,0.265,0.5,0
2,0.00087722,3.1486e-08,0,0.00018152,1,0.266,0.266,0.5,0
2,0.00087751,3.0776e-08,0,0.0001824,1,0.267,0.267,0.5,0
2,0.00087781,3.0066e-08,0,0.00018327,1,0.268,0.268,0.5,0
2,0.00087811,2.9356e-08,0,0.00018415,1,0.269,0.269,0.5,0
2,0.0008784,2.8646e-08,0,0.00018503,1,0.27,0.27,0.5,0
